"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 12:56:42 GMT 2024","Fri Jan 05 12:56:43 GMT 2024","952","tests","test_login_page","TestLogin","","","test_logout",""
"passed","Fri Jan 05 12:56:31 GMT 2024","Fri Jan 05 12:56:34 GMT 2024","2660","tests","test_login_page","TestLogin","","","test_valid_login",""
"broken","Fri Jan 05 12:55:47 GMT 2024","Fri Jan 05 12:56:18 GMT 2024","30656","tests","test_contact_page","TestContact","","","test_contact_us",""
"passed","Fri Jan 05 12:56:53 GMT 2024","Fri Jan 05 12:56:54 GMT 2024","547","tests","test_testcases_page","TestCases","","","test_testcases_page",""
"passed","Fri Jan 05 12:56:37 GMT 2024","Fri Jan 05 12:56:38 GMT 2024","445","tests","test_login_page","TestLogin","","","test_invalid_login",""
"passed","Fri Jan 05 12:56:46 GMT 2024","Fri Jan 05 12:56:46 GMT 2024","456","tests","test_login_page","TestLogin","","","test_invalid_signin",""
"passed","Fri Jan 05 12:56:48 GMT 2024","Fri Jan 05 12:56:49 GMT 2024","662","tests","test_products_page","TestProducts","","","test_products_page",""
"passed","Fri Jan 05 12:56:51 GMT 2024","Fri Jan 05 12:56:52 GMT 2024","682","tests","test_products_page","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 12:56:24 GMT 2024","Fri Jan 05 12:56:28 GMT 2024","3302","tests","test_login_page","TestRegister","","","test_register_user",""
"passed","Fri Jan 05 12:56:20 GMT 2024","Fri Jan 05 12:56:22 GMT 2024","2049","tests","test_home_page","TestHome","","","test_subscription",""
