"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 13:00:14 GMT 2024","Fri Jan 05 13:00:16 GMT 2024","1709","tests","test_contact_page","TestContact","","","test_contact_us",""
"passed","Fri Jan 05 13:00:43 GMT 2024","Fri Jan 05 13:00:43 GMT 2024","428","tests","test_login_page","TestLogin","","","test_invalid_signin",""
"passed","Fri Jan 05 13:00:48 GMT 2024","Fri Jan 05 13:00:49 GMT 2024","717","tests","test_products_page","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 13:00:21 GMT 2024","Fri Jan 05 13:00:24 GMT 2024","3097","tests","test_login_page","TestRegister","","","test_register_user",""
"passed","Fri Jan 05 13:00:17 GMT 2024","Fri Jan 05 13:00:20 GMT 2024","2135","tests","test_home_page","TestHome","","","test_subscription",""
"passed","Fri Jan 05 13:00:51 GMT 2024","Fri Jan 05 13:00:51 GMT 2024","537","tests","test_testcases_page","TestCases","","","test_testcases_page",""
"passed","Fri Jan 05 13:00:34 GMT 2024","Fri Jan 05 13:00:35 GMT 2024","432","tests","test_login_page","TestLogin","","","test_invalid_login",""
"passed","Fri Jan 05 13:00:38 GMT 2024","Fri Jan 05 13:00:39 GMT 2024","971","tests","test_login_page","TestLogin","","","test_logout",""
"passed","Fri Jan 05 13:00:28 GMT 2024","Fri Jan 05 13:00:30 GMT 2024","2551","tests","test_login_page","TestLogin","","","test_valid_login",""
"failed","Fri Jan 05 13:00:43 GMT 2024","Fri Jan 05 13:00:43 GMT 2024","0","tests","test_products_page","TestProducts","","","test_products_page",""
