"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 12:26:45 GMT 2024","Fri Jan 05 12:26:45 GMT 2024","553","tests","test_products_page","TestProducts","","","test_products_page",""
"passed","Fri Jan 05 12:26:23 GMT 2024","Fri Jan 05 12:26:27 GMT 2024","3733","tests","test_login_page","TestRegister","","","test_register_user",""
"passed","Fri Jan 05 12:26:20 GMT 2024","Fri Jan 05 12:26:22 GMT 2024","2100","tests","test_home_page","TestHome","","","test_subscription",""
"passed","Fri Jan 05 12:26:17 GMT 2024","Fri Jan 05 12:26:19 GMT 2024","2444","tests","test_contact_page","TestContact","","","test_contact_us",""
"passed","Fri Jan 05 12:26:40 GMT 2024","Fri Jan 05 12:26:41 GMT 2024","961","tests","test_login_page","TestLogin","","","test_logout",""
"passed","Fri Jan 05 12:26:37 GMT 2024","Fri Jan 05 12:26:37 GMT 2024","410","tests","test_login_page","TestLogin","","","test_invalid_login",""
"passed","Fri Jan 05 12:26:47 GMT 2024","Fri Jan 05 12:26:48 GMT 2024","740","tests","test_products_page","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 12:26:31 GMT 2024","Fri Jan 05 12:26:34 GMT 2024","2684","tests","test_login_page","TestLogin","","","test_valid_login",""
"passed","Fri Jan 05 12:26:44 GMT 2024","Fri Jan 05 12:26:44 GMT 2024","383","tests","test_login_page","TestLogin","","","test_invalid_signin",""
"passed","Fri Jan 05 12:26:49 GMT 2024","Fri Jan 05 12:26:49 GMT 2024","538","tests","test_testcases_page","TestCases","","","test_testcases_page",""
