"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 12:47:39 GMT 2024","Fri Jan 05 12:47:41 GMT 2024","2088","tests","test_home_page","TestHome","","","test_subscription",""
"passed","Fri Jan 05 12:48:00 GMT 2024","Fri Jan 05 12:48:01 GMT 2024","1010","tests","test_login_page","TestLogin","","","test_logout",""
"passed","Fri Jan 05 12:47:35 GMT 2024","Fri Jan 05 12:47:37 GMT 2024","1862","tests","test_contact_page","TestContact","","","test_contact_us",""
"passed","Fri Jan 05 12:48:35 GMT 2024","Fri Jan 05 12:48:36 GMT 2024","617","tests","test_products_page","TestProducts","","","test_products_page",""
"broken","Fri Jan 05 12:48:01 GMT 2024","Fri Jan 05 12:48:01 GMT 2024","0","tests","test_login_page","TestLogin","","","test_invalid_signin",""
"passed","Fri Jan 05 12:47:43 GMT 2024","Fri Jan 05 12:47:46 GMT 2024","3406","tests","test_login_page","TestRegister","","","test_register_user",""
"passed","Fri Jan 05 12:48:40 GMT 2024","Fri Jan 05 12:48:40 GMT 2024","520","tests","test_testcases_page","TestCases","","","test_testcases_page",""
"passed","Fri Jan 05 12:48:38 GMT 2024","Fri Jan 05 12:48:38 GMT 2024","638","tests","test_products_page","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 12:47:50 GMT 2024","Fri Jan 05 12:47:52 GMT 2024","2515","tests","test_login_page","TestLogin","","","test_valid_login",""
"passed","Fri Jan 05 12:47:56 GMT 2024","Fri Jan 05 12:47:56 GMT 2024","471","tests","test_login_page","TestLogin","","","test_invalid_login",""
