"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 16:58:16 GMT 2024","Fri Jan 05 16:58:17 GMT 2024","481","tests","test_login_page","TestLogin","","","test_invalid_signin",""
"passed","Fri Jan 05 16:57:52 GMT 2024","Fri Jan 05 16:57:56 GMT 2024","3512","tests","test_login_page","TestRegister","","","test_register_user",""
"passed","Fri Jan 05 16:58:00 GMT 2024","Fri Jan 05 16:58:02 GMT 2024","2424","tests","test_login_page","TestLogin","","","test_valid_login",""
"passed","Fri Jan 05 16:57:48 GMT 2024","Fri Jan 05 16:57:50 GMT 2024","2118","tests","test_home_page","TestHome","","","test_subscription",""
"broken","Fri Jan 05 16:57:15 GMT 2024","Fri Jan 05 16:57:46 GMT 2024","30868","tests","test_contact_page","TestContact","","","test_contact_us",""
"passed","Fri Jan 05 16:58:11 GMT 2024","Fri Jan 05 16:58:12 GMT 2024","1110","tests","test_login_page","TestLogin","","","test_logout",""
"passed","Fri Jan 05 16:58:24 GMT 2024","Fri Jan 05 16:58:25 GMT 2024","524","tests","test_testcases_page","TestCases","","","test_testcases_page",""
"passed","Fri Jan 05 16:58:22 GMT 2024","Fri Jan 05 16:58:23 GMT 2024","614","tests","test_products_page","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 16:58:19 GMT 2024","Fri Jan 05 16:58:20 GMT 2024","538","tests","test_products_page","TestProducts","","","test_products_page",""
"passed","Fri Jan 05 16:58:06 GMT 2024","Fri Jan 05 16:58:07 GMT 2024","529","tests","test_login_page","TestLogin","","","test_invalid_login",""
