"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 13:24:38 GMT 2024","Fri Jan 05 13:24:39 GMT 2024","628","tests","test_products_page","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 13:24:35 GMT 2024","Fri Jan 05 13:24:35 GMT 2024","395","tests","test_login_page","TestLogin","","","test_invalid_signin",""
"passed","Fri Jan 05 13:24:31 GMT 2024","Fri Jan 05 13:24:31 GMT 2024","835","tests","test_login_page","TestLogin","","","test_logout",""
"passed","Fri Jan 05 13:24:22 GMT 2024","Fri Jan 05 13:24:25 GMT 2024","2748","tests","test_login_page","TestLogin","","","test_valid_login",""
"passed","Fri Jan 05 13:24:15 GMT 2024","Fri Jan 05 13:24:18 GMT 2024","3424","tests","test_login_page","TestRegister","","","test_register_user",""
"passed","Fri Jan 05 13:24:08 GMT 2024","Fri Jan 05 13:24:11 GMT 2024","2584","tests","test_contact_page","TestContact","","","test_contact_us",""
"passed","Fri Jan 05 13:24:28 GMT 2024","Fri Jan 05 13:24:28 GMT 2024","414","tests","test_login_page","TestLogin","","","test_invalid_login",""
"passed","Fri Jan 05 13:24:12 GMT 2024","Fri Jan 05 13:24:14 GMT 2024","2095","tests","test_home_page","TestHome","","","test_subscription",""
"passed","Fri Jan 05 13:24:40 GMT 2024","Fri Jan 05 13:24:40 GMT 2024","442","tests","test_testcases_page","TestCases","","","test_testcases_page",""
"passed","Fri Jan 05 13:24:36 GMT 2024","Fri Jan 05 13:24:37 GMT 2024","548","tests","test_products_page","TestProducts","","","test_products_page",""
